area,eccRange,route,emptyCells,medVertPerCell,reportable,experiment,asymmetry,n,equal,equal_lo,equal_hi,equal_p,weighted,weighted_lo,weighted_hi,weighted_p,tau,mean_sigma,weight_ratio
V3,4-8,harmonic,1,80,1,da,rad-tang,8,0.13371551993312,0.10761453712553,0.15981650274071,5.96726879580742e-06,0.145829207300199,0.0987997066734636,0.192858707926934,0.000158320452728011,0,0.077762226435314,10.319985559837
V3,4-8,harmonic,1,80,1,da,polc-polo,8,-0.00745559979510335,-0.0460225785394385,0.0311113789492318,0.661433807942613,-0.00411814740577833,-0.0413272730933631,0.0330909782818065,0.801081243265992,0,0.0482969725560495,3.73317144461454
V3,4-8,harmonic,1,80,1,dg-da,horiz-vert,8,-0.101800890431208,-0.185888767584589,-0.0177130132778262,0.0242427495426686,-0.0958385187667963,-0.170041175122827,-0.0216358624107656,0.0184763220209412,0.0442976074166047,0.0903010144666219,4.85847065546729
V3,4-8,harmonic,1,80,1,dg-da,card-obl,8,-0.114978309255217,-0.219831418512216,-0.0101251999982179,0.035789868958687,-0.109367655245524,-0.212993118315534,-0.00574219217551301,0.0412536872576468,0.10962231999903,0.0609338404571942,1.55597911843574
V3,4-8,harmonic,1,80,1,dg-da,rad-tang,8,-0.0597981620580571,-0.121187910648856,0.00159158653274215,0.0547227985208301,-0.076962026096021,-0.134116419544426,-0.0198076326476165,0.0154021609960866,0,0.0846874551917237,5.42934723912961
V3,4-8,harmonic,1,80,1,dg-da,polc-polo,8,0.0345416116424524,-0.0526708648005296,0.121754088085434,0.380172594253023,0.0326945294862327,-0.0541482962671842,0.11953735523965,0.40289901018687,0.0886823720901176,0.0549344454136691,1.38312781116467
V3,2-10,harmonic,0,202.5,1,dg,horiz-vert,8,-0.166509492639421,-0.251533108665162,-0.081485876613681,0.0023952593966615,-0.152520044217478,-0.231952988831212,-0.0730870996037444,0.00266661326398321,0.0615555592713603,0.0809559958494979,3.00175605156791
V3,2-10,harmonic,0,202.5,1,dg,card-obl,8,-0.120149554576578,-0.223591603946871,-0.0167075052062843,0.0286462515865836,-0.1123894156396,-0.214854369065234,-0.00992446221396553,0.0357539521220593,0.112004193701536,0.0525787313495978,1.42020990022576
V3,2-10,harmonic,0,202.5,1,dg,rad-tang,8,0.0964963817246634,0.0577034359784591,0.135289327470868,0.000610519676787063,0.100190055637289,0.0627885895835788,0.137591521691,0.000391068260950478,0.0350408193499484,0.030418346586575,2.24920371930924
V3,2-10,harmonic,0,202.5,1,dg,polc-polo,8,0.0494202652123092,-0.0048434284395202,0.103683958864139,0.0682534520029039,0.0489322023072971,-0.00532139996599509,0.103185804580589,0.0703897370047182,0.0627554291701573,0.0165737067060846,1.06147533084301
V3,2-10,harmonic,0,202.5,1,da,horiz-vert,8,-0.0301846158035535,-0.0651552570621666,0.00478602545505962,0.0805931826323222,-0.0276774265424241,-0.0620210646866373,0.00666621160178917,0.0983861063930616,0.0336763429135597,0.0248121226577293,1.72796671362063
V3,2-10,harmonic,0,202.5,1,da,card-obl,8,-0.00569333815373692,-0.0380003034812784,0.0266136271738046,0.689372356272688,-0.0125546756637685,-0.0437047025010142,0.0185953511734772,0.372313479714008,0.0313186138322774,0.0226380688797543,2.4123576284047
V3,2-10,harmonic,0,202.5,1,da,rad-tang,8,0.166829455668568,0.135600059665979,0.198058851671157,4.50237270162938e-06,0.158192140441141,0.111303734724722,0.205080546157559,9.2782706865302e-05,0,0.0756109925195165,10.1282035579451
V3,2-10,harmonic,0,202.5,1,da,polc-polo,8,0.00359340277979377,-0.0470856168771967,0.0542724224367842,0.871588703119169,0.00380407128341875,-0.0446542841571754,0.052262426724013,0.858001284577367,0.0376179172416824,0.0475351895184149,2.73662635877863
V3,2-10,harmonic,0,202.5,1,dg-da,horiz-vert,8,-0.136324876835868,-0.231498081879191,-0.0411516717925444,0.0116460539507435,-0.122041652004152,-0.212960810931659,-0.0311224930766443,0.015619327088475,0.0760932964662351,0.0846729868066913,2.4317167465186
V3,2-10,harmonic,0,202.5,1,dg-da,card-obl,8,-0.114456216422841,-0.242446659174166,0.0135342263284845,0.0722978914421239,-0.107285163765062,-0.234769249522323,0.0201989219921985,0.0868955108467726,0.141989463896941,0.057245132133114,1.27095769540733
V3,2-10,harmonic,0,202.5,1,dg-da,rad-tang,8,-0.0703330739439049,-0.134328007971965,-0.00633813991584484,0.0354860890949406,-0.0613032702212717,-0.114502042867257,-0.00810449757528618,0.0295573213165783,0,0.0815002944709244,7.80942754996179
V3,2-10,harmonic,0,202.5,1,dg-da,polc-polo,8,0.0458268624325154,-0.0527297496398233,0.144383474504854,0.30791846315579,0.0444701739785327,-0.0537011065670308,0.142641454524096,0.319641824441375,0.106598479556531,0.0503416526996376,1.34230543667967
hV4,4-8,harmonic,24,4,0,dg,horiz-vert,8,-0.114665758645257,-0.271421552517983,0.0420900352274685,0.127304567255535,-0.117745565060478,-0.253144924391608,0.0176537942706519,0.0787922778273844,0.111347987767329,0.150859918131522,5.68535133022847
hV4,4-8,harmonic,24,4,0,dg,card-obl,8,-0.0784581418308384,-0.198121531112982,0.0412052474513055,0.164984707069401,-0.0589834154484224,-0.175390720549231,0.0574238896523863,0.269846036397136,0.119327390366173,0.0790470922535736,2.13528154818024
hV4,4-8,harmonic,24,4,0,dg,rad-tang,8,-0.00201734576388026,-0.0850832776089703,0.0810485860812098,0.955809601837945,-0.00463571391742347,-0.0725564233160352,0.0632849954811882,0.876345582347206,0,0.100138463906052,7.0117331611741
hV4,4-8,harmonic,24,4,0,dg,polc-polo,8,0.0660618266139774,-0.0416202003694241,0.173743853597379,0.190159672957377,0.0801180029305982,-0.010127180389535,0.170363186250731,0.0739509050227203,0.0826067162359901,0.0988248486114467,6.27578519243735
hV4,4-8,harmonic,24,4,0,da,horiz-vert,8,0.0352500090040192,-0.087519278236833,0.158019296244871,0.518985360997142,0.0809991651713323,-0.0112609410514348,0.173259271394099,0.0765350439218866,0.0794517646060251,0.123499815031079,10.1178460779655
hV4,4-8,harmonic,24,4,0,da,card-obl,8,0.0507535063145204,-0.100952480041071,0.202459492670112,0.454855941364078,0.00874213129196599,-0.116867816091308,0.13435207867524,0.873932466018091,0.123408574858024,0.133036697225258,6.83887538340246
hV4,4-8,harmonic,24,4,0,da,rad-tang,8,0.144179760681419,0.048833656391871,0.239525864970968,0.00902763554850155,0.133580599728223,0.0551373942254033,0.212023805231043,0.00501670257318221,0,0.148743360171151,22.2239620775602
hV4,4-8,harmonic,24,4,0,da,polc-polo,8,-0.0189740168084474,-0.111289657372437,0.0733416237555418,0.641803700951854,-0.0169527465479257,-0.102947575974923,0.0690420828790715,0.655262998404892,0.0747742576862757,0.0812525118652145,3.15536440774851
hV4,4-8,harmonic,24,4,0,dg-da,horiz-vert,8,-0.149915767649276,-0.398770872813962,0.0989393375154092,0.197319887219219,-0.189540517909043,-0.421894288383762,0.0428132525656767,0.0950731919941901,0.224931546537761,0.194963892070712,2.59403248575493
hV4,4-8,harmonic,24,4,0,dg-da,card-obl,8,-0.129211648145359,-0.386165843882143,0.127742547591426,0.273178271942287,-0.0835186707457028,-0.329738496753774,0.162701155262368,0.448870015162899,0.265554409464048,0.154748846853054,2.56797926118853
hV4,4-8,harmonic,24,4,0,dg-da,rad-tang,8,-0.1461971064453,-0.243410660667229,-0.04898355222337,0.00926769051814224,-0.142496138750727,-0.255223808382498,-0.0297684691189555,0.0202532684634591,0,0.179310621962192,13.4486220512734
hV4,4-8,harmonic,24,4,0,dg-da,polc-polo,8,0.0850358434224248,-0.0824890788320357,0.252560765676885,0.269067756006784,0.0962053487447657,-0.0626647094912338,0.255075406980765,0.195265578847242,0.15422478750741,0.12793874076089,3.09583251795383
hV4,2-10,harmonic,10,34.5,0,dg,horiz-vert,8,-0.157563546798205,-0.284800991465815,-0.0303261021305941,0.0220802956545936,-0.14863646274288,-0.261888578825205,-0.035384346660556,0.0172393284147692,0.0918913931953336,0.121321940939388,4.33947638182702
hV4,2-10,harmonic,10,34.5,0,dg,card-obl,8,-0.0936859179711195,-0.201418036751334,0.0140462008090954,0.0787916354723006,-0.0798592977300655,-0.184336233206246,0.0246176377461153,0.113637716292485,0.106560610662279,0.0724603000040533,2.35349276637774
hV4,2-10,harmonic,10,34.5,0,dg,rad-tang,8,0.041261427739116,-0.0191010717971254,0.101623927275358,0.1500492974706,0.0296928150365165,-0.025594815525509,0.084980445598542,0.244687128426759,0.0411883367742215,0.0593015170022955,3.26428142858463
hV4,2-10,harmonic,10,34.5,0,dg,polc-polo,8,-0.00225771659005104,-0.0483147257578645,0.0437992925777624,0.910975976214769,0.00679082054329944,-0.0301397948000606,0.0437214358866595,0.676791104972859,0.0273799022145845,0.047805128563173,8.83599218062915
hV4,2-10,harmonic,10,34.5,0,da,horiz-vert,8,0.0239252032271459,-0.0308467193431858,0.0786971257974776,0.336009245612015,0.0204176578748615,-0.029541858049456,0.0703771737991789,0.366044815084384,0.0397748702902061,0.0520593582546503,3.36479784646053
hV4,2-10,harmonic,10,34.5,0,da,card-obl,8,-0.00358387886888215,-0.0808259936577504,0.0736582359199861,0.915715431362814,-0.00592209631799485,-0.0800108612980348,0.0681666686620451,0.8554481729239,0.0755424260309616,0.0531951818503391,2.60446384823246
hV4,2-10,harmonic,10,34.5,0,da,rad-tang,8,0.232851982982911,0.124289270278174,0.341414695687647,0.00144420231340954,0.231210090560494,0.132620248064835,0.329799933056154,0.000864045211538489,0.0784759662368882,0.103461207599849,3.70368344328624
hV4,2-10,harmonic,10,34.5,0,da,polc-polo,8,0.048114073246745,-0.0534194348039292,0.149647581297419,0.299452567539108,0.0476113133217402,-0.0511622442385828,0.146384870882063,0.291861536113376,0.0976963841785174,0.0721468004532376,2.30596385088421
hV4,2-10,harmonic,10,34.5,0,dg-da,horiz-vert,8,-0.181488750025351,-0.315051887920096,-0.0479256121306051,0.0147941545743516,-0.157697862071796,-0.275782526255429,-0.0396131978881633,0.0159756554560095,0.0899679603653856,0.132019658139181,4.58152078816837
hV4,2-10,harmonic,10,34.5,0,dg-da,card-obl,8,-0.0901020391022374,-0.244772995602583,0.0645689173981086,0.210789676851522,-0.0761368380529025,-0.227931414448587,0.0756577383427816,0.274297173440304,0.161703165375343,0.0898900575634929,1.88318253867518
hV4,2-10,harmonic,10,34.5,0,dg-da,rad-tang,8,-0.191590555243794,-0.33952978175546,-0.0436513287321284,0.018263297001568,-0.198124289828215,-0.340740245000506,-0.0555083346559247,0.0133949623474836,0.130738919428386,0.119251379014218,2.16520463377539
hV4,2-10,harmonic,10,34.5,0,dg-da,polc-polo,8,-0.050371789836796,-0.17487372214509,0.0741301424714975,0.370587058632811,-0.0528440171600737,-0.174525423673861,0.0688373893537135,0.338632463180748,0.121191087633094,0.0865476234947026,1.82200891657398
