area,experiment,asymmetry,variant,route,weighting,n,mean,t_lo,t_hi,t_p,boot_lo,boot_hi,eq_mean,eq_lo,eq_hi,eq_p,pw_mean,pw_lo,pw_hi,pw_p,tau,mean_sigma,weight_ratio,obs_agree,ci_methods_disagree,band,reportable
V3,dg-da,card-obl,roi,roi,equal,7,-0.0751852242134902,-0.158824319076548,0.00845387064956737,0.0701419086367999,-0.139896625252485,-0.01613897356324,-0.0751852242134902,-0.158824319076548,0.00845387064956737,0.0701419086367999,-0.055779997943431,-0.136807783708199,0.025247787821337,0.143073789479538,0.0715161133571741,0.0553540035651746,1.93166394636119,5,1,2-10,1
V3,dg-da,rad-tang,roi,roi,equal,7,-0.088441776720635,-0.153432314971128,-0.0234512384701422,0.0158094982154769,-0.137813814826932,-0.0418644804122584,-0.088441776720635,-0.153432314971128,-0.0234512384701422,0.0158094982154769,-0.0633432549629585,-0.116198562891522,-0.0104879470343951,0.0262035938595043,0,0.0725985599726193,8.82930623727021,7,0,2-10,1
V3,dg-da,polc-polo,roi,roi,equal,7,0.00277463462974999,-0.0571404884892068,0.0626897577487068,0.913477157437029,-0.040713376327275,0.0482966584863908,0.00277463462974999,-0.0571404884892068,0.0626897577487068,0.913477157437029,0.00657450385766197,-0.051197569128489,0.064346576843813,0.790006808739807,0.0454069034853515,0.046207878399111,2.36100841104937,3,0,2-10,1
V3a,dg-da,horiz-vert,roi,roi,equal,7,-0.0734305734118827,-0.213744449398889,0.0668833025751233,0.247625704982229,-0.177519585466535,0.0319275886420034,-0.0734305734118827,-0.213744449398889,0.0668833025751233,0.247625704982229,-0.0647994827034106,-0.199550555835702,0.0699515904288803,0.283886837082627,0.112946795677553,0.101295404273782,2.57877617361156,4,0,4-8,0
V3a,dg-da,card-obl,roi,roi,equal,7,-0.134842950884407,-0.259971064249711,-0.00971483751910243,0.0387012172678458,-0.2293885657403,-0.045689908949446,-0.134842950884407,-0.259971064249711,-0.00971483751910243,0.0387012172678458,-0.11066904505384,-0.229842149506303,0.00850405939862336,0.0634667247971699,0.111564905456228,0.0765397480339492,2.6139135342567,5,0,4-8,0
V3a,dg-da,rad-tang,roi,roi,equal,7,-0.13597522457679,-0.214737903230633,-0.0572125459229474,0.00553471505498387,-0.192987509611383,-0.0782864020215004,-0.13597522457679,-0.214737903230633,-0.0572125459229474,0.00553471505498387,-0.162606355148175,-0.230742354417411,-0.0944703558789376,0.00111141714985852,0,0.0888239593091655,8.68303346926223,7,0,4-8,0
V3a,dg-da,polc-polo,roi,roi,equal,7,0.0371842685157355,-0.0153874341650618,0.0897559711965328,0.134222215726512,-0.00306371965489972,0.074434940583838,0.0371842685157355,-0.0153874341650618,0.0897559711965328,0.134222215726512,0.0126707898714663,-0.0363830815823011,0.0617246613252337,0.550665140919818,0,0.0670092525166354,9.1559886938153,6,0,4-8,0
V3a,dg-da,horiz-vert,roi,roi,equal,7,-0.086079505708236,-0.191751592554087,0.0195925811376147,0.0932972504142811,-0.15990428316971,-0.000595070651941026,-0.086079505708236,-0.191751592554087,0.0195925811376147,0.0932972504142811,-0.080487584066101,-0.18449710250177,0.0235219343695682,0.10712526354861,0.079354744796358,0.0822069174949652,1.80358267100029,5,1,2-10,1
V3a,dg-da,card-obl,roi,roi,equal,7,-0.129300309436941,-0.223494394361888,-0.0351062245119941,0.0152507864921051,-0.19697017818443,-0.0573425468303837,-0.129300309436941,-0.223494394361888,-0.0351062245119941,0.0152507864921051,-0.110705797367995,-0.20058921959885,-0.0208223751371392,0.0235858481491197,0.0813177232332423,0.0613231605809902,2.54713509006951,6,0,2-10,1
V3a,dg-da,rad-tang,roi,roi,equal,7,-0.151377459697025,-0.205378753692797,-0.0973761657012521,0.000472728166004358,-0.191834652722752,-0.111545565254268,-0.151377459697025,-0.205378753692797,-0.0973761657012521,0.000472728166004358,-0.162148585807897,-0.229276355961633,-0.0950208156541623,0.00104345887622495,0,0.0827583770795489,5.50556931855544,7,0,2-10,1
