area,experiment,asymmetry,observer,value,gainScale,nVertex,band
V2,da,rad-tang,sub-wlsubj123,0.154274965309409,1.13958391561156,839,4-8
V2,da,polc-polo,sub-wlsubj123,0.0430205464678656,1.13958391561156,839,4-8
V2,da,horiz-vert,sub-wlsubj124,-0.0110447359481733,0.991881716730935,1517,4-8
V2,da,card-obl,sub-wlsubj124,-0.0123843504880157,0.991881716730935,1517,4-8
V2,da,rad-tang,sub-wlsubj124,0.0972910970582865,0.991881716730935,1517,4-8
V2,da,polc-polo,sub-wlsubj124,-0.0344035527930464,0.991881716730935,1517,4-8
V2,da,horiz-vert,sub-0426,-0.124309321163249,1.268162342514,833,4-8
V2,da,card-obl,sub-0426,0.000665338932027646,1.268162342514,833,4-8
V2,da,rad-tang,sub-0426,0.222774111149201,1.268162342514,833,4-8
V2,da,polc-polo,sub-0426,0.0915505328094541,1.268162342514,833,4-8
V2,da,horiz-vert,sub-0250,-0.128929720410439,0.72605010860944,1213,4-8
V2,da,card-obl,sub-0250,-0.0201306224088187,0.72605010860944,1213,4-8
V2,da,rad-tang,sub-0250,0.173465060286218,0.72605010860944,1213,4-8
V2,da,polc-polo,sub-0250,0.00726204445984306,0.72605010860944,1213,4-8
V2,dg,horiz-vert,sub-0037,-0.358564551226877,1.04260364643219,2598,2-10
V2,dg,card-obl,sub-0037,-0.189816866092637,1.04260364643219,2598,2-10
V2,dg,rad-tang,sub-0037,0.240061164847973,1.04260364643219,2598,2-10
V2,dg,polc-polo,sub-0037,0.0628404268108337,1.04260364643219,2598,2-10
V2,dg,horiz-vert,sub-0201,-0.212937067662204,1.1761984071904,2619,2-10
V2,dg,card-obl,sub-0201,-0.0350901642424929,1.1761984071904,2619,2-10
V2,dg,rad-tang,sub-0201,0.0941432455364198,1.1761984071904,2619,2-10
V2,dg,polc-polo,sub-0201,-0.00839086363775523,1.1761984071904,2619,2-10
V2,dg,horiz-vert,sub-0255,-0.270204909250678,0.789360335852515,3099,2-10
V2,dg,card-obl,sub-0255,-0.069314011293208,0.789360335852515,3099,2-10
V2,dg,rad-tang,sub-0255,0.173035590802432,0.789360335852515,3099,2-10
V2,dg,polc-polo,sub-0255,0.0258106048597784,0.789360335852515,3099,2-10
V2,dg,horiz-vert,sub-wlsubj123,-0.217539109429082,1.15835706757944,2167,2-10
V2,dg,card-obl,sub-wlsubj123,-0.106536706415036,1.15835706757944,2167,2-10
V2,dg,rad-tang,sub-wlsubj123,0.171096474405027,1.15835706757944,2167,2-10
V2,dg,polc-polo,sub-wlsubj123,0.0140131521225573,1.15835706757944,2167,2-10
V2,dg,horiz-vert,sub-wlsubj124,-0.298074168388039,0.954000672022196,3146,2-10
V2,dg,card-obl,sub-wlsubj124,-0.342631480922126,0.954000672022196,3146,2-10
V2,dg,rad-tang,sub-wlsubj124,0.170950811711731,0.954000672022196,3146,2-10
V2,dg,polc-polo,sub-wlsubj124,0.0273890237572208,0.954000672022196,3146,2-10
V2,dg,horiz-vert,sub-0426,-0.391559805816279,1.28017728040556,1722,2-10
V2,dg,card-obl,sub-0426,-0.0133206821383272,1.28017728040556,1722,2-10
V2,dg,rad-tang,sub-0426,0.146937572006553,1.28017728040556,1722,2-10
V2,dg,polc-polo,sub-0426,0.0170472058347757,1.28017728040556,1722,2-10
V2,dg,horiz-vert,sub-0250,-0.272638788255253,0.730236647762172,2861,2-10
V2,dg,card-obl,sub-0250,-0.23628236166395,0.730236647762172,2861,2-10
V2,dg,rad-tang,sub-0250,0.198543754781978,0.730236647762172,2861,2-10
V2,dg,polc-polo,sub-0250,0.0420198620873741,0.730236647762172,2861,2-10
V2,da,horiz-vert,sub-0037,0.0196325568684374,1.04260364643219,2598,2-10
V2,da,card-obl,sub-0037,0.0127492811855162,1.04260364643219,2598,2-10
V2,da,rad-tang,sub-0037,0.0645276307859772,1.04260364643219,2598,2-10
V2,da,polc-polo,sub-0037,0.0978125238938532,1.04260364643219,2598,2-10
V2,da,horiz-vert,sub-0201,-0.138109713186255,1.1761984071904,2619,2-10
V2,da,card-obl,sub-0201,0.0167660363420934,1.1761984071904,2619,2-10
V2,da,rad-tang,sub-0201,0.158736057468898,1.1761984071904,2619,2-10
V2,da,polc-polo,sub-0201,0.115420811303786,1.1761984071904,2619,2-10
V2,da,horiz-vert,sub-0255,-0.0806438993660763,0.789360335852515,3099,2-10
V2,da,card-obl,sub-0255,-0.0232503524817881,0.789360335852515,3099,2-10
V2,da,rad-tang,sub-0255,0.188588191527626,0.789360335852515,3099,2-10
V2,da,polc-polo,sub-0255,0.0211655077156772,0.789360335852515,3099,2-10
V2,da,horiz-vert,sub-wlsubj123,-0.0838462340393146,1.15835706757944,2167,2-10
V2,da,card-obl,sub-wlsubj123,-0.00544531060678289,1.15835706757944,2167,2-10
V2,da,rad-tang,sub-wlsubj123,0.138289991930018,1.15835706757944,2167,2-10
V2,da,polc-polo,sub-wlsubj123,-0.0294502043577027,1.15835706757944,2167,2-10
V2,da,horiz-vert,sub-wlsubj124,0.00657563223059743,0.954000672022196,3146,2-10
V2,da,card-obl,sub-wlsubj124,-0.00674482897279739,0.954000672022196,3146,2-10
V2,da,rad-tang,sub-wlsubj124,0.10427808160341,0.954000672022196,3146,2-10
V2,da,polc-polo,sub-wlsubj124,-0.0125362330440245,0.954000672022196,3146,2-10
V2,da,horiz-vert,sub-0426,-0.0647353763906428,1.28017728040556,1722,2-10
V2,da,card-obl,sub-0426,-0.0271350437808556,1.28017728040556,1722,2-10
V2,da,rad-tang,sub-0426,0.239166144633282,1.28017728040556,1722,2-10
V2,da,polc-polo,sub-0426,0.10082058203368,1.28017728040556,1722,2-10
V2,da,horiz-vert,sub-0250,-0.121850519397622,0.730236647762172,2861,2-10
V2,da,card-obl,sub-0250,-0.0285803092886954,0.730236647762172,2861,2-10
V2,da,rad-tang,sub-0250,0.147459761179659,0.730236647762172,2861,2-10
V2,da,polc-polo,sub-0250,0.0336469635132271,0.730236647762172,2861,2-10
V3,dg,horiz-vert,sub-0037,-0.103694316230883,1.03647406983229,675,4-8
V3,dg,card-obl,sub-0037,-0.122199299171877,1.03647406983229,675,4-8
V3,dg,rad-tang,sub-0037,0.116947725654037,1.03647406983229,675,4-8
V3,dg,polc-polo,sub-0037,0.0151003458044751,1.03647406983229,675,4-8
V3,dg,horiz-vert,sub-0201,-0.0170149526483307,1.11613894064979,771,4-8
V3,dg,card-obl,sub-0201,0.00996032212108538,1.11613894064979,771,4-8
V3,dg,rad-tang,sub-0201,-0.000297875007355577,1.11613894064979,771,4-8
V3,dg,polc-polo,sub-0201,0.00074223933625333,1.11613894064979,771,4-8
V3,dg,horiz-vert,sub-0255,-0.0176793820444521,0.850901299741602,722,4-8
V3,dg,card-obl,sub-0255,-0.0561611177613432,0.850901299741602,722,4-8
V3,dg,rad-tang,sub-0255,0.0719830938319062,0.850901299741602,722,4-8
V3,dg,polc-polo,sub-0255,0.000724676620389008,0.850901299741602,722,4-8
V3,dg,horiz-vert,sub-wlsubj123,-0.110543537294168,1.34625354272939,690,4-8
V3,dg,card-obl,sub-wlsubj123,-0.0499307112761349,1.34625354272939,690,4-8
V3,dg,rad-tang,sub-wlsubj123,0.0560768214832399,1.34625354272939,690,4-8
V3,dg,polc-polo,sub-wlsubj123,-0.028802826465648,1.34625354272939,690,4-8
V3,dg,horiz-vert,sub-wlsubj124,-0.195848195819201,0.881766580479365,575,4-8
V3,dg,card-obl,sub-wlsubj124,-0.173421159802437,0.881766580479365,575,4-8
V3,dg,rad-tang,sub-wlsubj124,0.0787759142629746,0.881766580479365,575,4-8
V3,dg,polc-polo,sub-wlsubj124,-0.0340075334336313,0.881766580479365,575,4-8
V3,dg,horiz-vert,sub-0426,-0.225623570029065,1.14136177397119,414,4-8
V3,dg,card-obl,sub-0426,-0.017101309872351,1.14136177397119,414,4-8
V3,dg,rad-tang,sub-0426,0.0498907931354269,1.14136177397119,414,4-8
V3,dg,polc-polo,sub-0426,-0.00175998117543642,1.14136177397119,414,4-8
V3,dg,horiz-vert,sub-0250,-0.201831972592005,0.749791122152869,512,4-8
V3,dg,card-obl,sub-0250,-0.181103781285318,0.749791122152869,512,4-8
V3,dg,rad-tang,sub-0250,0.0693709485229354,0.749791122152869,512,4-8
V3,dg,polc-polo,sub-0250,0.0974901668530827,0.749791122152869,512,4-8
V3,da,horiz-vert,sub-0037,-0.00645858751583216,1.03647406983229,675,4-8
V3,da,card-obl,sub-0037,-0.00965672336574376,1.03647406983229,675,4-8
V3,da,rad-tang,sub-0037,0.122231444396035,1.03647406983229,675,4-8
V3,da,polc-polo,sub-0037,0.0222191378203706,1.03647406983229,675,4-8
V3,da,horiz-vert,sub-0201,-0.102920583404725,1.11613894064979,771,4-8
V3,da,card-obl,sub-0201,-0.0167120295762007,1.11613894064979,771,4-8
V3,da,rad-tang,sub-0201,0.182566585207449,1.11613894064979,771,4-8
V3,da,polc-polo,sub-0201,0.0503271498047755,1.11613894064979,771,4-8
