subject,area,eccBand,nVertices,meanGain_mov,meanGain_stat,meanGain_avg,medianGain_avg
sub-wlsubj123,V3a,2-10,283,2.03315590685121,1.73549418514884,1.87843824861008,1.84497504994124
sub-wlsubj123,V3a,1-12,458,1.95516665684328,1.64397960201352,1.79283409784267,1.74474089427958
sub-wlsubj123,V3a,0-Inf,821,1.80613993876248,1.49312836993107,1.6421932841879,1.50221069890944
sub-wlsubj123,V3b,4-8,190,1.11815175356439,1.18515999845585,1.15116841970572,1.00288633661888
sub-wlsubj123,V3b,2-10,320,1.11421837432123,1.18707556875232,1.15007017629867,0.999853352115476
sub-wlsubj123,V3b,1-12,411,1.15070767428805,1.24856164304689,1.19863650222899,1.03242272813853
sub-wlsubj123,V3b,0-Inf,619,1.14861706509399,1.19903988271174,1.17355769820278,1.01653099913372
sub-wlsubj123,hV4,4-8,232,2.440191199983,2.94541162960797,2.68092661945398,2.37534725721376
sub-wlsubj123,hV4,2-10,522,2.45902075294497,2.97015077389755,2.70252888835432,2.37778119138708
sub-wlsubj123,hV4,1-12,616,2.31283548560548,2.78913282205352,2.5398435709532,2.17184415057068
sub-wlsubj123,hV4,0-Inf,959,1.98036724884415,2.27148986408773,2.12093944584017,1.77930807114846
sub-wlsubj123,MT,4-8,0,NaN,NaN,NaN,NaN
sub-wlsubj123,MT,2-10,12,1.98726449904574,1.78923611308902,1.88565251516614,2.0907117918637
sub-wlsubj123,MT,1-12,37,1.88476717553005,1.52866652490321,1.69740404396513,1.68919132587572
sub-wlsubj123,MT,0-Inf,295,1.50197131068703,1.16921353851699,1.32518873784808,1.24300106950652
sub-wlsubj123,MST,4-8,13,1.12087081767761,0.768595823808224,0.928168427331764,0.935699698916041
sub-wlsubj123,MST,2-10,40,1.25201450020625,0.998735880761592,1.11822708095886,1.10425334181045
sub-wlsubj123,MST,1-12,79,1.39321401274681,1.08057119207629,1.22697470494351,1.17054699395672
sub-wlsubj123,MST,0-Inf,253,1.3720066019049,0.96437036971709,1.15027062638899,1.06342544244485
sub-wlsubj124,V1,4-8,1564,4.41966547047508,4.23213479937449,4.32488381799921,3.98908475724628
sub-wlsubj124,V1,2-10,3267,4.17119567478649,4.02009287995346,4.09494737855102,3.75087407990819
sub-wlsubj124,V1,1-12,4534,4.08638992376032,3.97339291848852,4.02949535118879,3.73757049397983
sub-wlsubj124,V1,0-Inf,5607,4.02088564613648,3.85438502963252,3.9367551918214,3.62064747907809
sub-wlsubj124,V2,4-8,1517,3.9388822634478,3.71203903852893,3.82377885475709,3.33996129120489
sub-wlsubj124,V2,2-10,3146,3.88064406017077,3.6833988772552,3.78073537479947,3.33350865553096
sub-wlsubj124,V2,1-12,4185,3.76544753646964,3.57418095119443,3.66856795733318,3.20092733016069
sub-wlsubj124,V2,0-Inf,5648,3.49245673848596,3.26840623899257,3.37857475771651,2.95013366953927
sub-wlsubj124,V3,4-8,575,3.534960090045,3.53037089513596,3.53266474737726,3.43419531753985
sub-wlsubj124,V3,2-10,1464,3.22410762114845,3.17461321934481,3.1992647084429,3.15376185186708
sub-wlsubj124,V3,1-12,2072,3.01502915094654,3.03088899444082,3.02294867166515,2.96012397408081
sub-wlsubj124,V3,0-Inf,3685,2.67631491081307,2.69308333134001,2.68468602926439,2.4941980499817
sub-wlsubj124,V3a,4-8,189,3.25796200474543,2.7839722878505,3.01165667632968,2.48188369837685
sub-wlsubj124,V3a,2-10,488,3.06582896155778,2.59706914418194,2.82173170188115,2.3950631958668
sub-wlsubj124,V3a,1-12,820,2.82980954760331,2.30691924029186,2.55502291412967,2.23556455303738
sub-wlsubj124,V3a,0-Inf,1037,2.65745196859811,2.12297339073664,2.37522626637853,2.06610690872796
sub-wlsubj124,V3b,4-8,23,0.917917240378624,1.20343600048079,1.05102552420653,1.0478118940264
sub-wlsubj124,V3b,2-10,115,1.05107477982371,1.29507472481914,1.166713495784,1.13645645880282
sub-wlsubj124,V3b,1-12,200,1.29900114634467,1.50343751224402,1.3974859755513,1.23506998544655
sub-wlsubj124,V3b,0-Inf,643,1.09708186732125,1.2099029626292,1.15211223477522,1.01101634005678
sub-wlsubj124,hV4,4-8,209,4.42290795661392,4.64379412670881,4.53200551543104,4.29442526606751
sub-wlsubj124,hV4,2-10,344,4.04161882306579,4.30940927054853,4.1733667013747,3.89457655386191
sub-wlsubj124,hV4,1-12,539,3.46867638818311,3.72100294532138,3.5926250927137,3.15795922327549
sub-wlsubj124,hV4,0-Inf,1250,2.59475833007539,2.73792092726293,2.66537860971068,2.33558580539311
sub-wlsubj124,MT,4-8,67,1.5875330007885,1.46010002235229,1.52248381598501,1.38600701540566
sub-wlsubj124,MT,2-10,122,1.63517600094768,1.46328850196583,1.54684654729459,1.32235022301244
sub-wlsubj124,MT,1-12,192,1.80936979167296,1.53832524186931,1.6683522477002,1.5365613480095
sub-wlsubj124,MT,0-Inf,285,1.80635814772663,1.4436685742111,1.61486299469741,1.54884101606645
sub-wlsubj124,MST,4-8,82,2.79854600458506,1.58134944944235,2.10368229150451,2.21926189168352
sub-wlsubj124,MST,2-10,180,2.67777286549991,1.56928920012438,2.0499268372835,2.133312477487
sub-wlsubj124,MST,1-12,292,2.53820534542063,1.5016578237011,1.95231040439548,1.97778999195112
sub-wlsubj124,MST,0-Inf,399,2.28676234126722,1.36030747390724,1.76371763722979,1.78516606316711
sub-0395,V1,4-8,1786,5.23802038126248,4.96393508065737,5.09913650765962,4.5515058548819
sub-0395,V1,2-10,3811,5.11121586235729,4.84993531271736,4.97886194845446,4.36445975375805
sub-0395,V1,1-12,5039,4.83232262418923,4.60234134876217,4.71593026070838,4.10381440456485
sub-0395,V1,0-Inf,6609,4.62802095963513,4.30674466541155,4.46449376517892,3.90740297479546
sub-0395,V2,4-8,1137,4.45299263586778,3.99547276953736,4.21803399933667,3.88966197738711
sub-0395,V2,2-10,3161,4.48963256585702,3.99429896282094,4.23472959009779,3.80955942248369
sub-0395,V2,1-12,4148,4.35091583511079,3.87853446817606,4.10794072919878,3.60322376469848
sub-0395,V2,0-Inf,5392,4.0515217171658,3.5564040895679,3.79589889273959,3.29510895021925
sub-0395,V3,4-8,801,3.87181995932574,3.62515943830186,3.74646028524996,3.02353987863999
sub-0395,V3,2-10,2009,3.71480861395485,3.32656850019461,3.51533288885047,2.87032973226191
sub-0395,V3,1-12,2722,3.44194353807997,3.11450773946709,3.27413496792035,2.62990582465524
sub-0395,V3,0-Inf,3911,3.49172102488125,3.09057190138769,3.28502890200111,2.51268363369843
sub-0395,V3a,4-8,300,3.80090321335287,3.46964897351901,3.63150105777967,2.83918502137242
sub-0395,V3a,2-10,480,3.60254645368216,3.27295476919109,3.43379842110912,2.78538398786526
sub-0395,V3a,1-12,590,3.38955168936609,3.08780128483937,3.23516028373465,2.62658758865121
sub-0395,V3a,0-Inf,901,3.05437045506817,2.75526309524848,2.90096435587662,2.38823522898153
sub-0395,V3b,4-8,60,1.2516083667005,1.2620413275665,1.25681402152587,1.2315820291408
sub-0395,V3b,2-10,162,1.40937254412669,1.51741017676738,1.46239401028395,1.37234541526803
sub-0395,V3b,1-12,213,1.37353169511268,1.5339651563283,1.4515335894892,1.36200814895049
sub-0395,V3b,0-Inf,317,1.35999438463416,1.53516531848754,1.44492775342858,1.29025545184157
sub-0395,hV4,4-8,114,3.97401239039659,4.56817117507552,4.26074745217346,3.78129747072794
sub-0395,hV4,2-10,511,3.53008625155254,3.94653525887573,3.73250718132257,3.21779648254414
sub-0395,hV4,1-12,975,3.05784121924482,3.44730190835642,3.24673711140178,2.83434190650631
sub-0395,hV4,0-Inf,1359,2.63099443501342,2.90129141997601,2.76283940545032,2.44200121018781
sub-0395,MT,4-8,86,2.97400198972183,1.71742510514656,2.26000568138757,2.27088448366831
sub-0395,MT,2-10,197,2.52674305562124,1.62625707720318,2.02709984373687,2.00411919249867
sub-0395,MT,1-12,268,2.36794410750118,1.5852419879418,1.9374633994763,1.80519415406472
sub-0395,MT,0-Inf,425,2.08347070522615,1.41513522291297,1.7170884604099,1.58665169704159
sub-0395,MST,4-8,27,2.34650653993109,1.19700739603791,1.67594322193469,1.67290967858142
sub-0395,MST,2-10,98,2.24407640998586,1.17337593115975,1.62269690551279,1.56160171618252
sub-0395,MST,1-12,165,2.24430976870243,1.33612478486858,1.73166911010331,1.71435792207465
sub-0395,MST,0-Inf,417,1.95102484691937,1.17282016697102,1.51268016670034,1.41109140279263
sub-0426,V1,4-8,1135,2.76406691964725,4.08177007877861,3.35891137846146,2.66608177933004
sub-0426,V1,2-10,2111,2.67493584804069,3.94154113676654,3.2470555405265,2.66867843799102
sub-0426,V1,1-12,2755,2.58952154148589,3.78108452457302,3.12908929667416,2.56760225219294
sub-0426,V1,0-Inf,3530,2.46610844614627,3.51786316508709,2.94540864122589,2.41411780505478
sub-0426,V2,4-8,833,2.54351776167811,3.51658260980117,2.9907340785228,2.67809371320669
